fold,horizon,test_year,hash,config,model,strategy,NSE,KGE,HitRatio,FARate,FARatio,F1,Precision,Recall,n_extreme,PeakTiming_mean_lag,PeakTiming_mean_absolute_lag,PeakTiming_n_peaks,NSE_CI_lower,NSE_CI_upper,KGE_CI_lower,KGE_CI_upper,F1_CI_lower,F1_CI_upper,HitRatio_CI_lower,HitRatio_CI_upper,n_replicas,frac,mean_abs_deviation_from_baseline,mean_std_across_replicas,max_std_across_replicas,delta_hit_ratio,delta_farate,rf_branch_stability,seed,threshold_percentile
M3_2022,48h,2022,71be3587c3daff18,M3,seq2seq_base,expanding,0.5081596078108767,0.4781910850083568,0.1428571428571428,0.015527950310559,0.1785714285714285,0.6571428571428571,0.8214285714285714,0.5476190476190477,42.0,1.3888888888888888,2.055555555555556,18.0,0.3709451456089599,0.6507193339118688,0.3252377169925668,0.6574238378262646,0.5072761194029851,0.7750127551020408,0.054054054054054,0.2653807864609259,,,,,,,,,92,90
M3_2023,48h,2023,811dba691bd16665,M3,seq2seq_base,expanding,0.2683936131932258,0.5580401622361759,0.2419354838709677,0.0396039603960396,0.2608695652173913,0.6296296296296297,0.7391304347826086,0.5483870967741935,62.0,0.64,1.44,25.0,0.0331998757353537,0.4563769443086557,0.415910769430418,0.6599748477798766,0.504777183600713,0.7156751720183487,0.1448757763975155,0.3484848484848485,,,,,,,,,92,90
M4_2017,48h,2017,2de09d49df2fedb0,M4,seq2seq_base,expanding,0.504317072425158,0.6684826288447421,0.1034482758620689,0.0477611940298507,0.5714285714285714,0.4210526315789473,0.4285714285714285,0.4137931034482758,29.0,1.5,1.8333333333333333,12.0,0.3578640471942147,0.6403550268675223,0.5792789959461861,0.7371733036683165,0.2498903508771929,0.5846341463414635,0.0,0.2162795608108108,,,,,,,,,92,90
M4_2018,48h,2018,d7f9d634d34ce316,M4,seq2seq_base,expanding,0.0487767736052697,0.3277117051160388,0.0454545454545454,0.0204678362573099,0.7777777777777778,0.1290322580645161,0.2222222222222222,0.0909090909090909,22.0,2.0,2.0,15.0,-0.1448239087188072,0.1944246142931785,0.173514906831624,0.4596349550502304,0.0,0.3000757575757576,0.0,0.1430357142857143,,,,,,,,,92,90
M4_2019,48h,2019,bfff9814071f0e3c,M4,seq2seq_base,expanding,0.5068463111730901,0.6418563877958883,0.3488372093023256,0.0683229813664596,0.4150943396226415,0.6458333333333333,0.5849056603773585,0.7209302325581395,43.0,-0.0625,1.5625,16.0,0.4087603038985883,0.5867280889229813,0.5606113547775863,0.7266658201380456,0.5316197365021957,0.7292708333333333,0.2161679536679537,0.4884076886568581,,,,,,,,,92,90
M4_2020,48h,2020,e61451c433ce7a9b,M4,seq2seq_base,expanding,0.2390266060603857,0.499344809169148,0.5106382978723404,0.0725552050473186,0.3833333333333333,0.691588785046729,0.6166666666666667,0.7872340425531915,47.0,0.05,1.25,20.0,-0.1347820819055208,0.5209963191293162,0.3195599663578355,0.6100153318831355,0.5978935368754956,0.7734174757281554,0.3817321867321867,0.6581140350877194,,,,,,,,,92,90
M4_2021,48h,2021,d2cbc75d08987dfd,M4,seq2seq_base,expanding,0.3962129173583955,0.5769452910428694,0.1666666666666666,0.0223463687150838,0.6153846153846154,0.5263157894736842,0.3846153846153846,0.8333333333333334,6.0,0.0,0.4,5.0,-0.0945643482626601,0.631877906869931,0.4005118532638554,0.6710709686892361,0.1535714285714285,0.7999999999999999,0.0,0.6,,,,,,,,,92,90
M4_2022,48h,2022,1bc538582d22b2fe,M4,seq2seq_base,expanding,0.5388955436926903,0.6610250379462712,0.4047619047619047,0.0683229813664596,0.4150943396226415,0.6526315789473685,0.5849056603773585,0.7380952380952381,42.0,1.6111111111111112,1.8333333333333333,18.0,0.3558296194163647,0.6510837852051488,0.5442663157843224,0.7304441307280302,0.5125,0.7663629283489097,0.2429761156505342,0.5794736842105265,,,,,,,,,92,90
M4_2023,48h,2023,c330caca3da1421a,M4,seq2seq_base,expanding,0.1044200514973722,0.4667079197209265,0.4838709677419355,0.1419141914191419,0.4574468085106383,0.6538461538461539,0.5425531914893617,0.8225806451612904,62.0,0.64,1.2,25.0,-0.3174380565632151,0.3536433364777614,0.274583120550384,0.5791234625305723,0.5624662769784172,0.7417502365184484,0.3529139433551198,0.6001408450704225,,,,,,,,,92,90
M5_loyo_2014,48h,2014,f131774b9b7e469c,M5,seq2seq_rf,loyo,0.3259545081982389,0.4035345297835675,0.56,0.1150442477876106,0.609375,0.5617977528089888,0.390625,1.0,25.0,0.1538461538461538,0.4615384615384615,13.0,-0.2270488761905175,0.5562366939979944,0.1482917912401849,0.5352268520448638,0.4241626794258373,0.674803802365425,0.3683014354066986,0.7576839826839827,,,,,,,,,92,90
